job_male,job_female,similarity,img_similarity,text_similarity,job_male_ratio,job_female_ratio,job_male_label,job_female_label,job_male_1_class,job_male_2_class,job_male_3_class,job_female_1_class,job_female_2_class,job_female_3_class
Training and development manager,Training and development specialist,0.9946695095948828,0.9873046875,0.97412109375,48.0,56.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Sales manager,Marketing manager,0.9645549864814367,0.9853515625,0.9462890625,33.1,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Project management specialist,Training and development specialist,0.9631518402098491,0.98046875,0.9501953125,47.3,56.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Project management specialist,Marketing specialist,0.9615398706028033,0.990234375,0.93798828125,47.3,61.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Project management specialist,Marketing manager,0.9598985924574477,0.98828125,0.9384765625,47.3,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Information security analyst,Operations research analyst,0.9542163995926113,0.9736328125,0.94873046875,19.3,55.0,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations
Financial and investment analyst,Operations research analyst,0.9491386953304171,0.9716796875,0.94580078125,43.9,55.0,"Management, business, and financial operations occupations",Professional and related occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations
Management analyst,Marketing manager,0.9487613478996768,0.984375,0.931640625,46.6,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Sales manager,Public relations manager,0.9459990181639666,0.9921875,0.92041015625,33.1,66.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Management analyst,Marketing specialist,0.9450025278614292,0.986328125,0.92578125,46.6,61.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
